                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63616,                 0.4078,                 1.1356,                0.97475,                0.97584,                0.97572,                0.87626,                0.51074,                 0.2952,                 1.0287,             0.00050254,             0.00050254,             0.00050254
                     37,                0.62869,                0.40631,                 1.1295,                0.97697,                0.97008,                0.97853,                0.86584,                0.51403,                0.29993,                 1.0338,             0.00049493,             0.00049493,             0.00049493
                     38,                0.63116,                0.40654,                 1.1321,                0.97557,                0.98349,                0.98325,                0.88525,                0.48878,                0.28383,                 1.0088,             0.00048732,             0.00048732,             0.00048732
                     39,                0.62276,                0.39903,                 1.1246,                0.97734,                0.97254,                0.97888,                0.87716,                 0.4931,                0.28524,                 1.0046,              0.0004797,              0.0004797,              0.0004797
                     40,                0.61326,                0.39367,                 1.1246,                0.97191,                0.98089,                0.97673,                0.87963,                0.47977,                0.28132,                 1.0069,             0.00047209,             0.00047209,             0.00047209
                     41,                0.60934,                0.38605,                  1.117,                0.97319,                0.97298,                0.98122,                0.87711,                0.50826,                0.28029,                 1.0188,             0.00046448,             0.00046448,             0.00046448
                     42,                0.61094,                0.39204,                 1.1221,                0.96714,                0.98185,                0.97808,                0.88078,                0.49441,                0.27167,                 1.0147,             0.00045686,             0.00045686,             0.00045686
                     43,                0.59583,                 0.3815,                 1.1102,                 0.9765,                0.98078,                0.97631,                0.88766,                 0.4942,                0.27911,                 1.0265,             0.00044925,             0.00044925,             0.00044925
                     44,                0.58163,                0.37709,                 1.0999,                0.97497,                0.97584,                0.97266,                0.87887,                  0.491,                0.28574,                 1.0289,             0.00044164,             0.00044164,             0.00044164
                     45,                0.58825,                0.38017,                 1.1114,                0.97832,                0.97897,                0.97876,                0.88249,                0.47735,                0.26574,                 1.0115,             0.00043402,             0.00043402,             0.00043402
                     46,                0.57743,                0.36513,                 1.0984,                0.97601,                0.98286,                0.97429,                0.88477,                0.45562,                0.26409,                0.98955,             0.00042641,             0.00042641,             0.00042641
                     47,                0.57374,                0.36863,                 1.0981,                0.97719,                0.97945,                0.97886,                0.89259,                0.48196,                0.26556,                 1.0088,              0.0004188,              0.0004188,              0.0004188
                     48,                0.57184,                0.36345,                  1.091,                0.97662,                0.98214,                0.98392,                0.89651,                0.46303,                0.25507,                0.99476,             0.00041118,             0.00041118,             0.00041118
                     49,                0.56997,                0.36511,                 1.0967,                 0.9754,                0.98167,                0.97625,                0.88031,                0.48751,                0.26772,                 1.0159,             0.00040357,             0.00040357,             0.00040357
                     50,                0.56062,                 0.3547,                 1.0904,                0.97834,                0.98137,                0.98193,                0.88833,                0.47573,                0.25357,                 1.0026,             0.00039596,             0.00039596,             0.00039596
                     51,                0.55378,                0.35055,                 1.0871,                0.97841,                0.97513,                0.97444,                0.87387,                0.48888,                0.26882,                   1.02,             0.00038835,             0.00038835,             0.00038835
                     52,                0.55981,                0.35098,                 1.0894,                0.97434,                0.98411,                0.97561,                0.88519,                0.45936,                0.25202,                0.98722,             0.00038073,             0.00038073,             0.00038073
                     53,                0.54297,                0.34588,                  1.078,                0.97482,                0.97458,                0.98088,                 0.8896,                0.46064,                0.25535,                0.99164,             0.00037312,             0.00037312,             0.00037312
                     54,                0.53184,                0.33041,                 1.0737,                0.97717,                0.98283,                0.97935,                0.88842,                0.47044,                0.24759,                 1.0049,             0.00036551,             0.00036551,             0.00036551
                     55,                 0.5409,                0.33656,                 1.0728,                0.97197,                0.98127,                0.97636,                0.88978,                0.46953,                0.24863,                 1.0035,             0.00035789,             0.00035789,             0.00035789
                     56,                0.53204,                0.32947,                 1.0684,                0.97724,                0.98114,                0.97671,                0.89167,                0.44911,                0.24767,                0.99787,             0.00035028,             0.00035028,             0.00035028
                     57,                0.53225,                0.33603,                 1.0754,                0.98097,                0.97894,                0.97967,                0.89686,                0.46032,                 0.2517,                 1.0035,             0.00034267,             0.00034267,             0.00034267
                     58,                0.52687,                0.33589,                 1.0688,                0.97516,                0.98032,                 0.9797,                0.89069,                0.45057,                0.24614,                0.98525,             0.00033505,             0.00033505,             0.00033505
                     59,                0.53581,                0.32586,                 1.0781,                0.97686,                0.97986,                0.98141,                0.89601,                0.45925,                0.24415,                0.98648,             0.00032744,             0.00032744,             0.00032744
                     60,                0.51776,                 0.3229,                 1.0642,                0.97348,                0.98529,                0.98088,                0.89409,                0.44995,                 0.2491,                0.99434,             0.00031983,             0.00031983,             0.00031983
                     61,                0.51792,                 0.3194,                 1.0627,                0.97856,                 0.9826,                0.97998,                0.89935,                0.45047,                0.25122,                 0.9904,             0.00031221,             0.00031221,             0.00031221
