                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66078,                0.44056,                 1.1345,                 0.9744,                0.97106,                0.97457,                0.86074,                0.52448,                0.33547,                 1.0242,             0.00051015,             0.00051015,             0.00051015
                     36,                0.65877,                 0.4379,                 1.1373,                0.97501,                0.97602,                  0.979,                0.86651,                0.53789,                0.32495,                 1.0433,             0.00050254,             0.00050254,             0.00050254
                     37,                0.65805,                0.43492,                 1.1258,                0.96487,                0.98386,                0.97928,                0.86539,                0.51505,                0.31358,                 1.0277,             0.00049493,             0.00049493,             0.00049493
                     38,                0.64726,                0.42947,                  1.121,                0.97521,                 0.9743,                0.97593,                0.86308,                0.51557,                0.31194,                 1.0233,             0.00048732,             0.00048732,             0.00048732
                     39,                0.64553,                0.42678,                 1.1193,                0.97559,                0.97646,                0.97825,                0.86279,                0.51964,                0.30695,                 1.0309,              0.0004797,              0.0004797,              0.0004797
                     40,                0.63718,                0.41628,                 1.1201,                0.97305,                0.97806,                0.98026,                0.87498,                0.51197,                0.30515,                 1.0212,             0.00047209,             0.00047209,             0.00047209
                     41,                0.62952,                0.41436,                 1.1118,                0.96777,                0.97939,                0.97229,                0.85613,                 0.5332,                0.31603,                 1.0347,             0.00046448,             0.00046448,             0.00046448
                     42,                0.62804,                0.41343,                 1.1123,                0.96876,                 0.9792,                0.97362,                0.87045,                0.50207,                0.30296,                 1.0105,             0.00045686,             0.00045686,             0.00045686
                     43,                0.62086,                0.40555,                 1.1063,                0.97623,                0.97378,                0.97593,                0.87569,                0.51293,                 0.3096,                 1.0254,             0.00044925,             0.00044925,             0.00044925
                     44,                0.61011,                0.39935,                 1.0995,                  0.977,                0.97496,                0.97814,                0.86326,                0.51522,                0.30277,                 1.0273,             0.00044164,             0.00044164,             0.00044164
                     45,                 0.6153,                0.40378,                 1.1084,                0.97633,                0.97089,                  0.978,                0.87284,                0.49636,                0.30183,                 1.0103,             0.00043402,             0.00043402,             0.00043402
                     46,                0.61269,                0.39734,                 1.1011,                0.97901,                0.97467,                0.97617,                0.87552,                0.50531,                0.29154,                   1.02,             0.00042641,             0.00042641,             0.00042641
                     47,                0.60646,                0.39415,                 1.0991,                0.98148,                0.97707,                0.97804,                0.87861,                0.49239,                0.29739,                 1.0121,              0.0004188,              0.0004188,              0.0004188
                     48,                0.60228,                0.38777,                 1.0927,                0.97283,                0.98363,                0.97664,                 0.8718,                0.50613,                 0.3076,                 1.0128,             0.00041118,             0.00041118,             0.00041118
                     49,                0.60045,                0.38961,                 1.0951,                0.97283,                0.98383,                0.97481,                0.87117,                0.49266,                0.30322,                  1.001,             0.00040357,             0.00040357,             0.00040357
                     50,                0.58709,                0.37942,                 1.0895,                0.97633,                0.97809,                0.97994,                0.87672,                0.48689,                0.29669,                 1.0051,             0.00039596,             0.00039596,             0.00039596
                     51,                0.59413,                0.38549,                 1.0908,                 0.9732,                0.97801,                0.97841,                0.87181,                0.49993,                0.30137,                 1.0135,             0.00038835,             0.00038835,             0.00038835
                     52,                 0.5853,                0.38454,                 1.0847,                0.97349,                0.98144,                0.97131,                0.86995,                0.48145,                0.29336,                0.99848,             0.00038073,             0.00038073,             0.00038073
                     53,                0.57246,                0.37363,                 1.0737,                 0.9795,                0.97957,                 0.9782,                0.87226,                0.49016,                0.28383,                 0.9978,             0.00037312,             0.00037312,             0.00037312
                     54,                0.56785,                0.36423,                 1.0759,                 0.9813,                0.98123,                0.97908,                0.87237,                0.49229,                0.28909,                 1.0086,             0.00036551,             0.00036551,             0.00036551
                     55,                0.57963,                0.36658,                 1.0813,                0.97893,                0.97814,                0.97347,                0.88079,                0.47628,                0.29002,                 1.0021,             0.00035789,             0.00035789,             0.00035789
                     56,                0.56618,                0.36288,                 1.0692,                0.97599,                0.97608,                0.97438,                0.87484,                0.48562,                0.28834,                 1.0072,             0.00035028,             0.00035028,             0.00035028
                     57,                0.56486,                0.36564,                 1.0723,                0.97868,                0.96589,                0.97634,                0.88351,                0.47394,                0.28288,                 0.9984,             0.00034267,             0.00034267,             0.00034267
                     58,                0.56234,                0.36631,                 1.0733,                0.97613,                0.97446,                0.97799,                0.88558,                0.47397,                0.28146,                 1.0009,             0.00033505,             0.00033505,             0.00033505
